filename,function_name,n,time,memory,storage,marshaling,no_cache,hash,intra_cache,inter_cache
teste_multiprocessing.py,fib,1,0.33553,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,1,0.23073,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,2,0.54973,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,2,0.22078,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,3,0.65173,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,3,0.22283,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,4,0.65922,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,4,0.21934,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,5,0.8656,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,5,0.22511,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,6,0.76555,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,6,0.22419,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,7,1.24619,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,7,0.2317,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,8,1.09782,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,8,0.22176,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,9,1.06284,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,9,0.25795,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,10,1.21735,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,10,0.22277,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,11,1.26636,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,11,0.22002,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,12,1.43732,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,12,0.22076,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,13,1.88484,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,13,0.22383,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,14,2.02996,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,14,0.2671,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,15,1.63095,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,15,0.22199,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,16,1.79593,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,16,0.22174,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,17,1.81965,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,17,0.22281,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,18,2.18851,2d-mp,pickle,db,False,md5,True,False
